Company,Registration Number
ACIVICO TRADED SERVICES LIMITED,RBCP02281R2G
ACT BUILDING CONTROL LIMITED,RBCP01857Z0R
ADRIAN THOMAS BUILDING CONTROL LTD,RBCP01972V4G
ALIGN BUILDING CONTROL LTD,RBCP01859B6C
ALL BUILDING CONTROL CERTIFICATION LIMITED,RBCP02331V3Y
Alpha Building Control Ltd,RBCP01588F1G
APPROVED BUILDING CONTROL LTD,RBCP01489F0C
APPROVED INSPECTORS LIMITED,RBCP01828S9Q
ASK BUILDING CONTROL LTD,RBCP03813W4W
ASSURE SURVEY LIMITED trading as ASSURE BUILDING CONTROL,RBCP02306L1Y
Ball & Berry Ltd,RBCP01855T3F
Blu Chip Compliance Ltd,RBCP06473Z4G
BLUEKEEP BUILDING CONTROL LIMITED,RBCP02269F0S
BUILD INSIGHT LTD,RBCP02307G5N
BUILDING CONSENTS LIMITED,RBCP01845F5V
Building Control Management Consultancy Limited,RBCP06657X8R
BUILDING CONTROL PARTNERSHIP LTD,RBCP01664K2W
BUILDING CONTROL SERVICES (APPROVED INSPECTORS) LIMITED,RBCP01649X2X
BUILDING CONTROL SURVEYORS LTD,RBCP02227C5J
Bureau Veritas Building Control UK Limited,RBCP01920C3H
C3 DESIGN APPROVALS LIMITED,RBCP01618S5D
CLARKE BANKS (BUILDING CONTROL) LIMITED,RBCP02065Z6J
COAST 2 COAST BUILDING CONTROL LIMITED,RBCP01766W4M
COMPLETE BUILDING CONTROL LTD,RBCP01829C6Y
COMPLIANCE BUILDING CONTROL LTD,RBCP01545D6F
Concept Construction Consultancy Ltd trading as Concept Building Control,RBCP06472W4G
CONFRERE BUILDING CONTROL LIMITED,RBCP01843P9H
COOK BROWN BUILDING CONTROL LTD,RBCP01492Q6Z
CORPORATE APPROVED INSPECTORS LTD,RBCP04290H0F
COUNTY BUILDING CONTROL LIMITED,RBCP01648J1H
DEEP BLUE BUILDING CONTROL CONSULTANCY LTD,RBCP05552L0S
DELTA CONSTRUCTION CONSULTANTS LTD,RBCP01992C1D
DUNWOODY BUILDING LEGISLATION LTD,RBCP02268P9R
Ebor Mills Ltd,RBCP04866Q6S
EVOLVE BUILDING CONTROL CONSULTANTS LTD,RBCP02225M6S
GATEWAY BUILDING CONTROL LTD,RBCP01590X2P
Gatwick Building Control Ltd,RBCP06537M9K
H & O Consulting Limited,RBCP02107H7N
HARWOOD BUILDING CONTROL LIMITED,RBCP02082M0C
ICW BUILDING CONTROL LTD,RBCP02456G9W
iM2 Building Approvers Ltd,RBCP06532N0G
INTEGRAL BUILDING CONTROL SOLUTIONS LIMITED,RBCP01586J8C
JM PARTNERSHIP (SURVEYORS) LIMITED,RBCP01620W3H
JPI BUILDING CONTROL APPROVERS LTD,RBCP05531V2X
K7 Building Compliance Ltd,RBCP06668K0W
LHR BUILDING CONTROL SERVICES LIMITED,RBCP02119W9D
LONDON BUILDING CONTROL LIMITED,RBCP02012Q0S
LSE BUILDING STANDARDS LTD,RBCP01557F1C
MC Plan and Site Services Ltd,RBCP01491C5C
MD WARRANTY SUPPORT SERVICES LIMITED trading as PREMIER GUARANTEE SURVEYORS,RBCP01827C5W
MERIDIAN CONSULT LTD,RBCP01283W2M
MFA BUILDING CONTROL LIMITED,RBCP01947W1V
MIDLANDS BUILDING CONTROL CONSULTANCY LTD,RBCP01962H0G
MORGAN WOLFF LIMITED,RBCP01723K2G
MULLEE ASSOCIATES LIMITED,RBCP03191K6S
NHBC Building Control Services Limited,RBCP01645Q4X
Nucleus Building Control Ltd,RBCP06525D2K
ONSITE BUILDING CONTROL LTD,RBCP02399T0D
Orbital Building Control Ltd,RBCP06511V9F
OWL BUILDING CONTROL SOLUTIONS LIMITED,RBCP01583G5L
PRIME CONSTRUCTION CONSULTANTS LTD,RBCP01749S4Q
PRO BUILDING CONTROL LIMITED,RBCP02284F8Y
PVM BUILDING CONTROL SERVICES LTD,RBCP02851W6V
QAI SERVICES LIMITED trading as QUADRANT BUILDING CONTROL,RBCP02575Q7D
R360 Building Control Limited,RBCP05860K2K
REGIONAL BUILDING CONTROL LIMITED trading as RBC LTD,RBCP01585G4T
Restore Compliance Ltd,RBCP06216L3V
RH BUILDING CONSULTANCY LIMITED,RBCP02021D6S
RYAN PROPERTY CONSULTANTS LTD,RBCP02352V0K
SALUS (BUILDING CONTROL AND FIRE SAFETY CONSULTANTS) LTD,RBCP01529L0G
SHORE ENGINEERING LIMITED,RBCP02570R4D
SOCOTEC Building Control Limited,RBCP01753Z8Q
SPIRE BUILDING CONTROL SERVICES LIMITED,RBCP02682Y7Q
STMC (BUILDING CONTROL) LTD,RBCP01938F3N
Stroma Building Control Limited,RBCP01582M0N
STUDIOUS LIMITED,RBCP01544N5W
SWECO BUILDING CONTROL LTD,RBCP01748J9Z
SwellRock Construction Compliance Ltd,RBCP05817B7T
TC BUILDING CONTROL LTD,RBCP01870K0X
THAMES BUILDING CONTROL LIMITED,RBCP01663L8T
THE BUILDING INSPECTORS LIMITED,RBCP01844K5Q
TOP BUILDING CONTROL LTD,RBCP01823H9Z
TOTAL BUILDING CONTROL LTD,RBCP02457C8H
TURTON BUILDING CONTROL LTD,RBCP02009Y3H
Vanguard Building Compliance Ltd,RBCP05818C5P
VANTAGE BUILDING CONTROL LTD,RBCP01502Q2N
WILKINSON CONSTRUCTION CONSULTANTS LTD,RBCP02207N1J
YORKSHIRE BUILDING CONTROL LIMITED,RBCP02800N4V
YORKSHIRE DALES BUILDING CONSULTANCY LTD trading as ENEVO BUILDING CONTROL,RBCP01759B9R
