Registration Number,Company
RBCP02281R2G,ACIVICO TRADED SERVICES LIMITED
RBCP01857Z0R,ACT BUILDING CONTROL LIMITED
RBCP01972V4G,ADRIAN THOMAS BUILDING CONTROL LTD
RBCP01859B6C,ALIGN BUILDING CONTROL LTD
RBCP02331V3Y,ALL BUILDING CONTROL CERTIFICATION LIMITED
RBCP01588F1G,Alpha Building Control Ltd
RBCP01489F0C,APPROVED BUILDING CONTROL LTD
RBCP01828S9Q,APPROVED INSPECTORS LIMITED
RBCP03813W4W,ASK BUILDING CONTROL LTD
RBCP02306L1Y,ASSURE SURVEY LIMITED trading as ASSURE BUILDING CONTROL
RBCP01855T3F,Ball & Berry Ltd
RBCP06473Z4G,Blu Chip Compliance Ltd
RBCP02269F0S,BLUEKEEP BUILDING CONTROL LIMITED
RBCP02307G5N,BUILD INSIGHT LTD
RBCP01845F5V,BUILDING CONSENTS LIMITED
RBCP06657X8R,Building Control Management Consultancy Limited
RBCP01664K2W,BUILDING CONTROL PARTNERSHIP LTD
RBCP01649X2X,BUILDING CONTROL SERVICES (APPROVED INSPECTORS) LIMITED
RBCP02227C5J,BUILDING CONTROL SURVEYORS LTD
RBCP01920C3H,Bureau Veritas Building Control UK Limited
RBCP01618S5D,C3 DESIGN APPROVALS LIMITED
RBCP02065Z6J,CLARKE BANKS (BUILDING CONTROL) LIMITED
RBCP01766W4M,COAST 2 COAST BUILDING CONTROL LIMITED
RBCP01829C6Y,COMPLETE BUILDING CONTROL LTD
RBCP01545D6F,COMPLIANCE BUILDING CONTROL LTD
RBCP06472W4G,Concept Construction Consultancy Ltd trading as Concept Building Control
RBCP01843P9H,CONFRERE BUILDING CONTROL LIMITED
RBCP01492Q6Z,COOK BROWN BUILDING CONTROL LTD
RBCP04290H0F,CORPORATE APPROVED INSPECTORS LTD
RBCP01648J1H,COUNTY BUILDING CONTROL LIMITED
RBCP05552L0S,DEEP BLUE BUILDING CONTROL CONSULTANCY LTD
RBCP01992C1D,DELTA CONSTRUCTION CONSULTANTS LTD
RBCP02268P9R,DUNWOODY BUILDING LEGISLATION LTD
RBCP04866Q6S,Ebor Mills Ltd
RBCP02225M6S,EVOLVE BUILDING CONTROL CONSULTANTS LTD
RBCP01590X2P,GATEWAY BUILDING CONTROL LTD
RBCP06537M9K,Gatwick Building Control Ltd
RBCP02107H7N,H & O Consulting Limited
RBCP02082M0C,HARWOOD BUILDING CONTROL LIMITED
RBCP02456G9W,ICW BUILDING CONTROL LTD
RBCP06532N0G,iM2 Building Approvers Ltd
RBCP01586J8C,INTEGRAL BUILDING CONTROL SOLUTIONS LIMITED
RBCP01620W3H,JM PARTNERSHIP (SURVEYORS) LIMITED
RBCP05531V2X,JPI BUILDING CONTROL APPROVERS LTD
RBCP06668K0W,K7 Building Compliance Ltd
RBCP02119W9D,LHR BUILDING CONTROL SERVICES LIMITED
RBCP02012Q0S,LONDON BUILDING CONTROL LIMITED
RBCP01557F1C,LSE BUILDING STANDARDS LTD
RBCP01491C5C,MC Plan and Site Services Ltd
RBCP01827C5W,MD WARRANTY SUPPORT SERVICES LIMITED trading as PREMIER GUARANTEE SURVEYORS
RBCP01283W2M,MERIDIAN CONSULT LTD
RBCP01947W1V,MFA BUILDING CONTROL LIMITED
RBCP01962H0G,MIDLANDS BUILDING CONTROL CONSULTANCY LTD
RBCP01723K2G,MORGAN WOLFF LIMITED
RBCP03191K6S,MULLEE ASSOCIATES LIMITED
RBCP01645Q4X,NHBC Building Control Services Limited
RBCP06525D2K,Nucleus Building Control Ltd
RBCP02399T0D,ONSITE BUILDING CONTROL LTD
RBCP06511V9F,Orbital Building Control Ltd
RBCP01583G5L,OWL BUILDING CONTROL SOLUTIONS LIMITED
RBCP01749S4Q,PRIME CONSTRUCTION CONSULTANTS LTD
RBCP02284F8Y,PRO BUILDING CONTROL LIMITED
RBCP02851W6V,PVM BUILDING CONTROL SERVICES LTD
RBCP02575Q7D,QAI SERVICES LIMITED trading as QUADRANT BUILDING CONTROL
RBCP05860K2K,R360 Building Control Limited
RBCP01585G4T,REGIONAL BUILDING CONTROL LIMITED trading as RBC LTD
RBCP06216L3V,Restore Compliance Ltd
RBCP02021D6S,RH BUILDING CONSULTANCY LIMITED
RBCP02352V0K,RYAN PROPERTY CONSULTANTS LTD
RBCP01529L0G,SALUS (BUILDING CONTROL AND FIRE SAFETY CONSULTANTS) LTD
RBCP02570R4D,SHORE ENGINEERING LIMITED
RBCP01753Z8Q,SOCOTEC Building Control Limited
RBCP02682Y7Q,SPIRE BUILDING CONTROL SERVICES LIMITED
RBCP01938F3N,STMC (BUILDING CONTROL) LTD
RBCP01582M0N,Stroma Building Control Limited
RBCP01544N5W,STUDIOUS LIMITED
RBCP01748J9Z,SWECO BUILDING CONTROL LTD
RBCP05817B7T,SwellRock Construction Compliance Ltd
RBCP01870K0X,TC BUILDING CONTROL LTD
RBCP01663L8T,THAMES BUILDING CONTROL LIMITED
RBCP01844K5Q,THE BUILDING INSPECTORS LIMITED
RBCP01823H9Z,TOP BUILDING CONTROL LTD
RBCP02457C8H,TOTAL BUILDING CONTROL LTD
RBCP02009Y3H,TURTON BUILDING CONTROL LTD
RBCP05818C5P,Vanguard Building Compliance Ltd
RBCP01502Q2N,VANTAGE BUILDING CONTROL LTD
RBCP02207N1J,WILKINSON CONSTRUCTION CONSULTANTS LTD
RBCP02800N4V,YORKSHIRE BUILDING CONTROL LIMITED
RBCP01759B9R,YORKSHIRE DALES BUILDING CONSULTANCY LTD trading as ENEVO BUILDING CONTROL
